feature,importance
rushing_player_game_count_season_1,0.1247818
rushing_run_plays_season_1,0.045699906
passing_yards_season_1,0.033685245
passing_touchdowns_season_1,0.030890714
passing_big_time_throws_season_1,0.016292663
rushing_rec_yards_season_2,0.01240437
sos_Rating_season_1,0.0123189995
rushing_player_game_count_season_2,0.012269022
passing_completions_season_1,0.011190812
rushing_elu_rush_mtf_season_1,0.010904066
rushing_total_touches_season_2,0.0097488435
rushing_targets_season_2,0.009682799
rushing_targets_season_1,0.009402836
passing_dropbacks_season_2,0.009210039
rushing_routes_season_1,0.008844832
passing_sack_percent_season_1,0.008678556
sos_Last_season_1,0.008129112
passing_grades_offense_season_1,0.007896547
rushing_elusive_rating_season_2,0.007873452
rushing_rec_yards_season_1,0.007799434
rushing_elu_recv_mtf_season_1,0.0074624433
passing_sack_percent_season_2,0.007454457
passing_touchdowns_season_2,0.0073759393
rushing_explosive_season_2,0.0071210973
passing_qb_rating_season_2,0.007061237
rushing_routes_season_2,0.0070465445
sos_Rank_season_1,0.006987747
rushing_elu_yco_season_2,0.006878541
rushing_grades_offense_season_1,0.0068683787
passing_first_downs_season_1,0.006815511
rushing_grades_run_season_2,0.006781972
passing_avg_time_to_throw_season_2,0.0067141047
passing_yards_season_2,0.0066943793
passing_grades_pass_season_1,0.0066817654
passing_passing_snaps_season_1,0.006504024
rushing_attempts_season_1,0.0064550005
passing_penalties_season_2,0.0063110343
rushing_ypa_season_2,0.0062283883
passing_attempts_season_1,0.006209315
rushing_breakaway_percent_season_2,0.006186054
rushing_elu_recv_mtf_season_2,0.006176212
rushing_grades_pass_season_2,0.0061089555
rushing_ypa_season_1,0.005855485
passing_completion_percent_season_2,0.0058230786
rushing_grades_pass_season_1,0.005606912
passing_twp_rate_season_1,0.005586286
passing_scrambles_season_1,0.005524857
rushing_drops_season_2,0.0054925764
passing_player_game_count_season_1,0.005473785
rushing_grades_offense_season_2,0.0053443597
sos_Hi_season_2,0.005320658
passing_spikes_season_1,0.0052294624
rushing_scramble_yards_season_1,0.0051598027
passing_aimed_passes_season_2,0.005140948
passing_thrown_aways_season_2,0.0051345835
passing_first_downs_season_2,0.0051101185
passing_player_game_count_season_2,0.005090322
rushing_touchdowns_season_1,0.0050732694
rushing_longest_season_2,0.0050317617
passing_big_time_throws_season_2,0.0049003386
passing_drop_rate_season_2,0.0048953933
rushing_receptions_season_1,0.0048596426
rushing_yards_season_1,0.004836374
passing_drop_rate_season_1,0.004836353
rushing_total_touches_season_1,0.0047865426
rushing_explosive_season_1,0.0047611855
passing_sacks_season_2,0.0047476282
rushing_elu_yco_season_1,0.004745595
rushing_zone_attempts_season_2,0.0047295056
rushing_longest_season_1,0.0046784617
rushing_yco_attempt_season_1,0.0046736537
rushing_yco_attempt_season_2,0.0046660816
