feature,importance
passing_grades_offense_season_2,0.025954839
passing_grades_run_season_1,0.018966706
passing_first_downs_season_2,0.01879483
rushing_grades_offense_season_2,0.01876043
passing_grades_pass_season_1,0.018521925
passing_big_time_throws_season_2,0.018265627
passing_grades_offense_season_1,0.01654852
passing_first_downs_season_1,0.015383993
rushing_ypa_season_1,0.014086014
passing_touchdowns_season_2,0.014076407
passing_aimed_passes_season_2,0.0130860675
passing_attempts_season_2,0.012801523
passing_qb_rating_season_1,0.012027375
sos_Lo_season_2,0.011807276
sos_Last_season_1,0.01137078
passing_touchdowns_season_1,0.011298282
passing_yards_season_1,0.011296554
sos_Hi_season_2,0.010868438
rushing_touchdowns_season_2,0.010662838
passing_twp_rate_season_2,0.010649983
sos_Rank_season_1,0.010590738
rushing_scramble_yards_season_1,0.010498971
passing_grades_pass_season_2,0.010431373
passing_completions_season_2,0.010205383
rushing_first_downs_season_2,0.010177619
sos_Rating_season_1,0.010039367
passing_btt_rate_season_2,0.010034874
sos_Rank_season_2,0.009711375
rushing_yco_attempt_season_1,0.009683244
rushing_first_downs_season_1,0.00950543
passing_avg_time_to_throw_season_2,0.009480061
passing_completions_season_1,0.00923381
sos_Last_season_2,0.009199353
rushing_zone_attempts_season_2,0.009197864
passing_pressure_to_sack_rate_season_2,0.0091411825
passing_accuracy_percent_season_1,0.008800553
rushing_scramble_yards_season_2,0.008785668
passing_qb_rating_season_2,0.008750935
passing_bats_season_1,0.0085404795
passing_dropbacks_season_1,0.008409729
passing_aimed_passes_season_1,0.008270933
rushing_longest_season_1,0.008035309
rushing_gap_attempts_season_2,0.008019114
rushing_grades_pass_season_1,0.007995727
passing_completion_percent_season_1,0.007877267
passing_thrown_aways_season_1,0.0077852355
passing_yards_season_2,0.007719963
passing_def_gen_pressures_season_1,0.007707198
rushing_grades_offense_penalty_season_2,0.0076581226
rushing_ypa_season_2,0.007526035
passing_grades_hands_fumble_season_2,0.0074669635
rushing_elusive_rating_season_1,0.0073937206
rushing_yards_after_contact_season_1,0.0072457753
rushing_explosive_season_2,0.007224977
passing_def_gen_pressures_season_2,0.0071896925
passing_drop_rate_season_1,0.007163798
passing_thrown_aways_season_2,0.0071035037
rushing_run_plays_season_2,0.0069265426
passing_grades_hands_fumble_season_1,0.0068441844
passing_btt_rate_season_1,0.006812741
passing_interceptions_season_1,0.0068067424
rushing_breakaway_percent_season_1,0.00677919
passing_declined_penalties_season_2,0.006581197
rushing_fumbles_season_1,0.0065102344
passing_spikes_season_1,0.0064676898
passing_completion_percent_season_2,0.006363784
passing_avg_depth_of_target_season_2,0.006345148
sos_Lo_season_1,0.0062302067
rushing_elu_yco_season_1,0.0062232194
