feature,importance
passing_touchdowns_season_1,0.032129444
rushing_first_downs_season_1,0.025925377
rushing_scramble_yards_season_1,0.02458873
passing_grades_offense_season_1,0.02224641
rushing_first_downs_season_2,0.021384098
rushing_attempts_season_2,0.021136511
rushing_gap_attempts_season_2,0.020964274
passing_yards_season_1,0.020897355
passing_interceptions_season_2,0.019491637
passing_def_gen_pressures_season_1,0.018501282
rushing_grades_offense_season_1,0.017906897
passing_qb_rating_season_1,0.017278109
passing_pressure_to_sack_rate_season_1,0.016572153
passing_touchdowns_season_2,0.0152405705
rushing_explosive_season_1,0.014950705
passing_big_time_throws_season_2,0.014780557
passing_completion_percent_season_2,0.014347203
passing_btt_rate_season_2,0.013624949
passing_scrambles_season_2,0.01353346
rushing_touchdowns_season_1,0.013346558
passing_thrown_aways_season_2,0.013267567
rushing_run_plays_season_2,0.012861827
passing_first_downs_season_1,0.012463187
rushing_elu_yco_season_2,0.011655137
passing_def_gen_pressures_season_2,0.011447401
passing_grades_pass_season_1,0.0107817575
passing_aimed_passes_season_2,0.010504849
passing_spikes_season_2,0.009805354
passing_grades_hands_fumble_season_2,0.00949259
passing_drops_season_1,0.009430082
rushing_gap_attempts_season_1,0.009412045
rushing_avoided_tackles_season_1,0.009367596
passing_attempts_season_2,0.009213495
passing_first_downs_season_2,0.0089455275
sos_Rank_season_2,0.008889693
passing_grades_pass_season_2,0.008767156
passing_sack_percent_season_1,0.008556199
passing_interceptions_season_1,0.008509358
rushing_breakaway_attempts_season_1,0.008470603
rushing_fumbles_season_2,0.008370827
rushing_grades_offense_penalty_season_2,0.008176873
passing_completions_season_2,0.008027827
sos_Lo_season_1,0.00784453
rushing_total_touches_season_1,0.0075622513
passing_qb_rating_season_2,0.0075563826
rushing_scramble_yards_season_2,0.007428796
rushing_attempts_season_1,0.0074005662
rushing_grades_run_block_season_1,0.0071211667
rushing_fumbles_season_1,0.0070016296
rushing_zone_attempts_season_1,0.0069885207
rushing_grades_pass_season_2,0.006933458
rushing_zone_attempts_season_2,0.0068722935
rushing_yco_attempt_season_1,0.006776385
passing_pressure_to_sack_rate_season_2,0.0066818474
rushing_elusive_rating_season_1,0.006438854
passing_penalties_season_2,0.0064142765
sos_Last_season_1,0.0063848468
sos_Last_season_2,0.0063759657
sos_Hi_season_2,0.00627037
passing_ypa_season_2,0.006195777
passing_thrown_aways_season_1,0.0061568334
passing_sacks_season_1,0.006067858
passing_player_game_count_season_2,0.0060318923
passing_spikes_season_1,0.005749476
passing_ypa_season_1,0.00571917
sos_Hi_season_1,0.0055326703
passing_scrambles_season_1,0.005522492
rushing_breakaway_yards_season_2,0.0054320474
passing_twp_rate_season_1,0.005412317
passing_turnover_worthy_plays_season_1,0.005386759
passing_dropbacks_season_1,0.0053039812
rushing_grades_hands_fumble_season_2,0.0051700464
passing_hit_as_threw_season_1,0.0051445905
passing_completion_percent_season_1,0.0051298924
passing_penalties_season_1,0.004940048
rushing_breakaway_yards_season_1,0.0048542214
passing_drops_season_2,0.0047835596
rushing_player_game_count_season_2,0.004753503
rushing_elu_yco_season_1,0.0045754486
rushing_rec_yards_season_1,0.004437013
passing_turnover_worthy_plays_season_2,0.0044346135
passing_yards_season_2,0.0043684784
rushing_receptions_season_2,0.004244992
rushing_targets_season_1,0.003888566
sos_Rating_season_2,0.0038494542
rushing_ypa_season_1,0.0038011
rushing_yards_season_1,0.003714831
rushing_grades_run_season_2,0.003692116
passing_hit_as_threw_season_2,0.0036045865
passing_bats_season_2,0.003560489
rushing_longest_season_2,0.0035288285
passing_grades_hands_fumble_season_1,0.0034841192
rushing_grades_hands_fumble_season_1,0.003459507
passing_twp_rate_season_2,0.003392396
sos_Lo_season_2,0.0033492085
passing_avg_depth_of_target_season_2,0.0033232775
passing_big_time_throws_season_1,0.0033064708
passing_grades_run_season_2,0.0032719853
passing_drop_rate_season_1,0.0031746582
passing_avg_depth_of_target_season_1,0.0031670262
passing_grades_offense_season_2,0.0031131126
passing_drop_rate_season_2,0.0030531897
passing_avg_time_to_throw_season_1,0.003051585
rushing_grades_offense_penalty_season_1,0.0028013529
passing_grades_run_season_1,0.002785896
passing_btt_rate_season_1,0.002740639
passing_sack_percent_season_2,0.0027327393
passing_accuracy_percent_season_1,0.0027219593
rushing_longest_season_1,0.002692291
passing_passing_snaps_season_2,0.002627903
passing_bats_season_1,0.0025108973
rushing_player_game_count_season_1,0.0024922187
rushing_ypa_season_2,0.0024911298
sos_Rating_season_1,0.0024517975
rushing_routes_season_1,0.0023879511
rushing_grades_run_season_1,0.0022832076
rushing_run_plays_season_1,0.002248078
rushing_yco_attempt_season_2,0.0022238612
passing_attempts_season_1,0.002149629
rushing_rec_yards_season_2,0.0021495542
rushing_penalties_season_2,0.0021305846
rushing_designed_yards_season_2,0.002117734
passing_player_game_count_season_1,0.002077514
rushing_breakaway_percent_season_1,0.0020334746
passing_sacks_season_2,0.001967813
rushing_grades_pass_season_1,0.0019467244
rushing_explosive_season_2,0.0019192069
passing_declined_penalties_season_1,0.0017614097
rushing_elusive_rating_season_2,0.0017519223
rushing_drops_season_2,0.0017514059
rushing_penalties_season_1,0.0017512325
sos_Rank_season_1,0.0017418915
passing_completions_season_1,0.0016524012
passing_aimed_passes_season_1,0.0015976081
passing_accuracy_percent_season_2,0.0015881017
passing_avg_time_to_throw_season_2,0.0015845377
rushing_yards_season_2,0.0015667479
rushing_scrambles_season_2,0.001522902
rushing_grades_offense_season_2,0.001473461
rushing_total_touches_season_2,0.001436211
rushing_designed_yards_season_1,0.0014056726
rushing_grades_run_block_season_2,0.0013286364
rushing_breakaway_attempts_season_2,0.0013024688
rushing_elu_rush_mtf_season_1,0.0012816049
rushing_breakaway_percent_season_2,0.0012689838
rushing_elu_rush_mtf_season_2,0.0012271174
passing_passing_snaps_season_1,0.001098302
rushing_elu_recv_mtf_season_2,0.0010838413
rushing_yards_after_contact_season_2,0.0010110664
rushing_routes_season_2,0.00088305696
rushing_yards_after_contact_season_1,0.00083170616
passing_dropbacks_season_2,0.0003719458
rushing_receptions_season_1,0.00029537806
rushing_elu_recv_mtf_season_1,0.00027773442
rushing_targets_season_2,0.0002709548
rushing_touchdowns_season_2,0.00024116921
rushing_avoided_tackles_season_2,0.00017356966
rushing_drops_season_1,0.00014568197
rushing_scrambles_season_1,0.00011208574
rushing_declined_penalties_season_2,6.270272e-05
rushing_declined_penalties_season_1,1.278197e-05
passing_declined_penalties_season_2,0.0
